Reading data file... Done.
After 8800 generations, Best: 250, Worst: 250 delta: 0 Avg: 250.00
After 8900 generations, Best: 250, Worst: 250 delta: 0 Avg: 250.00
After 9000 generations, Best: 250, Worst: 250 delta: 0 Avg: 250.00
After 9100 generations, Best: 250, Worst: 250 delta: 0 Avg: 250.00
After 9200 generations, Best: 250, Worst: 250 delta: 0 Avg: 250.00
After 9300 generations, Best: 250, Worst: 250 delta: 0 Avg: 250.00
After 9400 generations, Best: 250, Worst: 250 delta: 0 Avg: 250.00
After 9500 generations, Best: 250, Worst: 250 delta: 0 Avg: 250.00
After 9600 generations, Best: 250, Worst: 250 delta: 0 Avg: 250.00
After 9700 generations, Best: 250, Worst: 250 delta: 0 Avg: 250.00
After 9800 generations, Best: 250, Worst: 250 delta: 0 Avg: 250.00
After 9900 generations, Best: 250, Worst: 250 delta: 0 Avg: 250.00
After 10000 generations, Best: 250, Worst: 250 delta: 0 Avg: 250.00

Caught possible early convergence (1)
Shuffling population

After 10100 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 10200 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 10300 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 10400 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 10500 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 10600 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 10700 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 10800 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 10900 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 11000 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 11100 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 11200 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 11300 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 11400 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 11500 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 11600 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 11700 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 11800 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 11900 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 12000 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 12100 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 12200 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 12300 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 12400 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 12500 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 12600 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 12700 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 12800 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 12900 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 13000 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 13100 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 13200 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 13300 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
